col0;Cat1;Cat2;Cat3;id;caption
;ambient;amb_qu_crowd_arena_ext.bnk;;amb_qu_crowd_arena_ext.bnk:amb_qu_EXT_EM_crowd_medium_arena_1_fight_30m;amb_qu_EXT_EM_crowd_medium_arena_1_fight_30m
;ambient;amb_dyn_mills.bnk;;amb_dyn_mills.bnk:amb_dyn_mills_EM_watermill_1_loop;amb_dyn_mills_EM_watermill_1_loop
;ambient;amb_dyn_mills.bnk;;amb_dyn_mills.bnk:amb_dyn_mills_EM_watermill_1_water_loop;amb_dyn_mills_EM_watermill_1_water_loop
;ambient;amb_dyn_mills.bnk;;amb_dyn_mills.bnk:amb_dyn_mills_EM_windmill_big_squeaking_loop;amb_dyn_mills_EM_windmill_big_squeaking_loop
;ambient;amb_dyn_mills.bnk;;amb_dyn_mills.bnk:amb_dyn_mills_EM_windmill_creaks_1;amb_dyn_mills_EM_windmill_creaks_1
;ambient;amb_dyn_crowd_city_ext.bnk;;amb_dyn_crowd_city_ext.bnk:amb_dyn_EXT_crowd_city_neutral_1_25m;amb_dyn_EXT_crowd_city_neutral_1_25m
;ambient;amb_qu_crowd_arena_int.bnk;;amb_qu_crowd_arena_int.bnk:amb_qu_INT_EM_crowd_large_arena_1_ambient_25m;amb_qu_INT_EM_crowd_large_arena_1_ambient_25m
;ambient;amb_qu_crowd_arena_int.bnk;;amb_qu_crowd_arena_int.bnk:amb_qu_INT_EM_crowd_large_arena_1_fight_15m;amb_qu_INT_EM_crowd_large_arena_1_fight_15m
;ambient;amb_qu_crowd_arena_int.bnk;;amb_qu_crowd_arena_int.bnk:amb_qu_INT_EM_crowd_large_arena_1_fight_muted_custom_25m;amb_qu_INT_EM_crowd_large_arena_1_fight_muted_custom_25m
;ambient;amb_qu_crowd_arena_int.bnk;;amb_qu_crowd_arena_int.bnk:amb_qu_INT_EM_crowd_large_arena_1_reaction_boo;amb_qu_INT_EM_crowd_large_arena_1_reaction_boo
;ambient;amb_qu_crowd_arena_int.bnk;;amb_qu_crowd_arena_int.bnk:amb_qu_INT_EM_crowd_large_arena_1_reaction_cheer;amb_qu_INT_EM_crowd_large_arena_1_reaction_cheer
;ambient;amb_qu_crowd_arena_int.bnk;;amb_qu_crowd_arena_int.bnk:amb_qu_INT_EM_crowd_large_arena_1_reaction_stomp_loop;amb_qu_INT_EM_crowd_large_arena_1_reaction_stomp_loop
;ambient;amb_qu_crowd_arena_int.bnk;;amb_qu_crowd_arena_int.bnk:amb_qu_INT_EM_crowd_large_arena_1_reaction_stomp_loop_end;amb_qu_INT_EM_crowd_large_arena_1_reaction_stomp_loop_end
;ambient;amb_qu_crowd_arena_int.bnk;;amb_qu_crowd_arena_int.bnk:amb_qu_INT_EM_crowd_medium_room_1_fight_30m;amb_qu_INT_EM_crowd_medium_room_1_fight_30m
;ambient;amb_dyn_bob_crowd_city_ext.bnk;;amb_dyn_bob_crowd_city_ext.bnk:AfraidWallaOneShot;AfraidWallaOneShot
;ambient;amb_dyn_bob_crowd_city_ext.bnk;;amb_dyn_bob_crowd_city_ext.bnk:amb_dyn_bob_EXT_crowd_city_FL;amb_dyn_bob_EXT_crowd_city_FL
;ambient;amb_dyn_bob_crowd_city_ext.bnk;;amb_dyn_bob_crowd_city_ext.bnk:amb_dyn_bob_EXT_crowd_city_FR;amb_dyn_bob_EXT_crowd_city_FR
;ambient;amb_dyn_bob_crowd_city_ext.bnk;;amb_dyn_bob_crowd_city_ext.bnk:amb_dyn_bob_EXT_crowd_city_RL;amb_dyn_bob_EXT_crowd_city_RL
;ambient;amb_dyn_bob_crowd_city_ext.bnk;;amb_dyn_bob_crowd_city_ext.bnk:amb_dyn_bob_EXT_crowd_city_RR;amb_dyn_bob_EXT_crowd_city_RR
;ambient;amb_dyn_garden_party.bnk;;amb_dyn_garden_party.bnk:amb_dyn_garden_party_main;amb_dyn_garden_party_main
;ambient;amb_dyn_garden_party.bnk;;amb_dyn_garden_party.bnk:amb_dyn_garden_party_small;amb_dyn_garden_party_small
;ambient;amb_dyn_garden_party.bnk;;amb_dyn_garden_party.bnk:amb_dyn_garden_party_small_sukkubs_ctrl_0;amb_dyn_garden_party_small_sukkubs_ctrl_0
;ambient;amb_dyn_garden_party.bnk;;amb_dyn_garden_party.bnk:amb_dyn_garden_party_small_sukkubs_ctrl_1;amb_dyn_garden_party_small_sukkubs_ctrl_1
;ambient;amb_dyn_garden_party.bnk;;amb_dyn_garden_party.bnk:amb_dyn_garden_party_small_sukkubs_loop_55m;amb_dyn_garden_party_small_sukkubs_loop_55m
